Date,Smoothed_Daily_Cases
2020-09-18,626.2857142857143
2020-09-19,613.2857142857143
2020-09-20,618.1428571428571
2020-09-21,612.4285714285714
2020-09-22,623.5714285714286
2020-09-23,614.5714285714286
2020-09-24,598.8571428571429
2020-09-25,607.1428571428571
2020-09-26,615.8571428571429
2020-09-27,623.4285714285714
2020-09-28,655.0
2020-09-29,656.8571428571429
2020-09-30,654.7142857142857
2020-10-01,645.2857142857143
2020-10-02,652.4285714285714
2020-10-03,647.5714285714286
2020-10-04,655.7142857142857
2020-10-05,648.0
2020-10-06,648.0
2020-10-07,708.4285714285714
2020-10-08,719.4285714285714
2020-10-09,724.2857142857143
2020-10-10,743.1428571428571
2020-10-11,742.8571428571429
2020-10-12,755.2857142857143
2020-10-13,772.8571428571429
2020-10-14,734.2857142857143
